ID	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	N16	N17	N18	N19	N20	N21	N22	N23	N24	N25	N26	N27	N28	N29	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29
miR-222*	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	2	2	1	0	0	1	0	0	0	2	0	0	0	3	2	12	3	4	0	9	0	0	0	0	0	4	23	0	0	2	28	1	0	2	0	0	0	1	0	3	0	0
miR-223	5	54	14	198	26	9	5	128	261	37	61	119	70	129	5	171	647	4058	741	235	1048	66	144	12	0	1414	227	16	9	53	1422	319	330	799	12	453	3	347	30	110	404	29	19947	218	50	1639	305	3095	0	61747	30	416	9	76	1084	2758	12	199
miR-223*	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	4	8	0	0	0	0	0	0	0	4	0	1	0	0	1	1	0	5	0	1	0	0	0	0	0	0	19	0	0	2	0	1	0	38	0	1	0	0	1	1	0	0
miR-224	0	15	11	28	20	2	0	4	11	18	6	15	21	3	1	79	47	64	171	63	13	30	3	14	0	99	10	3	1	34	353	39	56	50	1	1	2	10	8	5	5	21	2021	44	11	15	3	136	0	712	23	43	2	6	111	414	6	3
miR-23a	336	571	813	1137	1583	151	11	1936	503	1138	797	1306	1638	467	210	1745	1826	1370	2496	1962	653	1518	1129	735	94	10578	2206	1659	8	733	889	278	522	267	47	422	15	4079	233	158	1226	214	2714	793	131	1506	545	1388	9	1766	47	1475	91	47	5950	7012	101	11
miR-23a*	0	0	10	0	5	0	0	0	0	0	0	0	22	0	1	1	1	5	2	16	0	1	1	2	1	2	0	0	0	2	0	0	0	0	0	4	0	1	0	0	1	1	19	2	0	0	0	1	0	6	0	3	0	1	7	10	1	0
miR-23b	342	408	1046	1644	1106	313	10	3865	292	2462	1456	2273	2300	886	135	2731	2974	1721	4071	3226	1172	4206	1726	1159	47	16957	3525	2774	13	357	288	120	280	122	30	183	9	4371	211	116	1120	114	930	367	78	1509	463	767	4	960	19	582	19	27	986	2249	47	3
miR-23b*	1	2	2	4	1	0	0	4	0	4	2	5	9	7	0	4	9	11	24	12	12	11	4	2	0	34	5	1	0	4	2	0	1	1	0	5	0	0	0	0	3	3	27	1	0	4	0	0	0	4	0	2	1	1	3	3	0	0
miR-24	120	267	1369	1112	1574	195	13	410	0	538	564	1608	679	581	24	1282	3136	3088	4895	1177	971	1400	478	381	57	8110	521	163	1	591	1259	279	354	298	11	767	9	258	42	50	1018	106	10722	455	56	1181	30	1152	24	8156	15	1796	9	567	1451	1692	20	12
miR-24-1*	1	0	5	5	16	1	0	11	0	6	0	5	0	0	0	0	7	2	1	1	1	1	2	4	0	2	0	0	0	6	0	0	1	1	0	7	0	2	0	0	0	0	2	1	0	3	0	0	0	2	0	2	0	1	0	1	0	0
miR-24-2*	0	0	1	4	14	1	1	9	10	3	1	6	0	0	0	2	4	1	1	2	1	1	1	1	0	2	0	0	0	7	6	7	1	3	0	4	1	24	0	1	0	0	2	1	0	0	0	2	1	3	0	0	0	0	1	1	0	0
miR-25	10	61	77	135	18	11	1	162	122	434	117	169	309	103	36	887	561	669	636	934	507	1583	142	52	25	617	208	129	0	88	797	116	103	149	12	222	2	65	55	25	111	110	3378	188	35	260	26	939	33	2456	12	620	81	658	292	689	27	0
miR-25*	0	0	0	4	0	0	0	1	0	3	2	3	4	3	0	2	6	12	14	8	5	0	1	1	0	34	2	1	0	1	22	4	0	4	1	7	1	3	1	0	4	4	400	9	1	5	2	26	4	146	2	60	1	25	25	53	2	0
miR-26a	1784	1542	4778	15412	680	228	29	6906	734	9817	5623	13960	15042	13096	287	35159	54672	43577	40846	34952	67694	62961	7240	2520	412	55046	16162	4215	7	1865	28696	3240	900	3735	443	4985	32	1438	2025	733	12718	837	31592	2854	334	13914	768	34642	3	63056	67	6109	46	4917	7741	22062	105	39
miR-26a-1*	0	0	0	1	0	0	0	2	0	1	1	2	4	0	0	12	13	4	5	6	0	4	0	0	0	5	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
miR-26a-2*	1	0	1	9	0	0	0	20	3	9	8	19	11	6	1	106	170	55	73	125	23	143	3	11	0	31	20	8	1	0	14	0	2	2	0	0	0	0	2	2	9	2	32	4	0	5	0	7	0	29	0	8	0	2	0	10	0	0
miR-26b	132	140	1034	2565	154	46	0	1258	371	2366	944	3752	3024	890	72	6718	11920	8694	11567	4488	4275	9383	1983	824	16	13470	4044	696	1	121	1877	658	41	637	39	110	7	114	280	81	840	91	9719	339	39	994	49	2014	1	14448	14	353	8	236	330	1048	6	0
miR-26b*	0	3	3	7	1	0	0	10	1	5	4	9	8	1	0	25	36	44	8	36	11	58	5	10	0	14	8	5	0	0	3	1	1	0	0	2	0	0	2	0	3	1	84	27	1	8	0	23	0	143	0	2	0	0	1	6	0	0
miR-27a	240	210	640	387	530	28	14	361	244	255	234	667	203	145	44	271	534	825	456	362	150	198	427	580	30	5761	1072	419	5	440	329	812	241	896	41	387	9	1240	79	98	693	115	1515	600	154	1260	389	555	30	943	28	386	73	151	4218	3638	51	81
miR-27a*	0	0	0	0	2	3	1	0	0	1	0	0	3	0	0	1	1	11	8	1	11	1	6	2	0	23	1	1	0	6	18	5	8	0	0	14	0	2	0	0	19	0	31	0	1	6	1	15	1	3	0	41	0	0	36	74	0	0
miR-27b	537	421	1624	1122	1058	98	50	1401	245	1133	1061	1375	620	285	60	904	1561	1416	1116	921	470	1048	1264	1093	77	17747	3650	999	7	341	228	572	171	1037	71	241	14	1054	235	163	480	202	1379	745	251	1718	366	391	40	975	19	283	50	378	1211	1838	62	35
miR-27b*	12	11	5	119	18	2	0	38	1	26	107	70	54	458	1	147	187	204	625	106	1817	279	20	29	3	520	78	15	0	31	344	3	27	1	0	47	0	15	4	3	1548	10	851	9	2	1747	53	1926	2	416	0	836	1	4	103	583	3	0
miR-28-3p	57	157	183	950	170	17	3	198	13	350	589	474	1035	77	7	2148	1238	1194	2730	1592	267	2686	68	258	42	2938	196	73	3	37	303	180	13	368	93	67	17	25	240	47	66	366	2248	301	26	56	11	230	12	3133	24	276	54	549	98	456	58	0
miR-28-5p	87	97	112	524	184	24	8	244	9	168	416	661	401	429	2	915	1698	1164	1775	717	630	1107	142	341	9	3666	233	63	6	205	431	115	23	194	7	243	1	26	3	29	273	23	1918	24	2	147	16	492	3	1952	2	452	1	45	343	468	3	1
miR-296-3p	0	0	0	0	1	0	1	2	0	1	0	0	4	1	0	2	0	0	2	4	1	0	2	0	1	3	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	2	0	0	1	1	1	0	1	0	2	0	0	9	7	0	0
miR-299-3p	0	3	2	0	3	0	0	2	0	6	3	8	38	1	1	9	21	11	21	10	5	16	3	0	7	35	3	0	0	0	3	0	0	2	0	0	0	0	0	1	3	0	30	0	0	3	0	7	0	48	0	1	0	1	0	1	0	0
miR-299-5p	1	2	3	4	1	0	0	4	0	6	2	12	15	16	3	13	81	40	18	11	33	7	6	2	0	25	12	0	9	3	7	1	0	4	0	1	0	0	1	3	15	3	16	1	1	2	0	10	0	28	0	1	0	2	1	6	0	1
miR-29a	320	447	904	2532	341	44	21	1579	144	1753	894	3642	1331	1422	53	3336	7090	6524	5014	5383	6775	10438	1230	1226	256	11456	2030	1006	4	413	4619	1398	220	1399	57	1127	16	466	354	144	2287	106	6129	896	93	4587	121	8132	9	16713	16	1964	41	789	2772	2249	69	1
miR-29a*	7	18	3	70	9	1	0	77	1	60	106	273	79	88	2	207	473	309	407	387	175	856	70	107	47	628	124	73	0	4	51	6	4	4	0	11	1	13	2	8	87	8	353	29	1	133	6	202	1	531	0	165	0	10	85	63	5	0
miR-29b	131	154	383	337	380	89	9	284	126	102	249	4308	1988	2021	61	1101	2024	3302	2439	1566	1889	2110	884	281	70	9832	936	491	9	188	179	491	232	343	17	447	2	297	73	44	2673	21	3618	473	57	2985	61	3423	2	8825	4	832	4	159	937	715	26	6
miR-29b-1*	0	2	0	8	1	0	0	3	1	2	8	6	3	7	1	9	20	9	27	23	6	26	1	8	1	35	5	1	0	2	8	0	5	1	0	4	0	0	0	2	3	0	17	4	0	3	0	15	0	26	0	16	1	0	10	10	0	0
miR-29b-2*	1	0	8	8	6	0	1	5	0	8	10	6	5	5	0	50	15	32	96	50	27	85	3	12	1	61	17	6	0	2	7	0	1	2	0	5	0	1	1	2	5	2	41	8	2	2	0	13	0	89	0	3	0	4	3	4	0	0
miR-29c	186	159	627	376	180	60	11	353	124	160	330	1879	526	869	26	1230	3202	3450	2783	2593	4383	5668	1012	477	103	7944	1694	513	0	205	300	491	147	467	17	502	7	230	132	48	936	21	3504	272	43	3411	54	3602	3	10108	9	1102	35	231	584	904	42	0
miR-29c*	10	13	13	29	10	0	0	41	6	8	23	95	43	199	6	68	149	243	177	250	288	203	37	33	21	336	102	27	1	9	102	9	2	10	1	46	0	11	2	3	53	6	288	59	5	242	10	299	1	370	1	112	1	15	47	75	3	0
miR-301a	3	4	14	47	9	1	0	16	6	24	20	22	21	4	1	78	67	56	120	53	49	122	18	16	1	152	17	20	0	16	46	33	16	17	0	32	0	5	4	1	10	6	211	9	0	8	2	29	0	160	2	14	0	397	12	55	0	0
miR-301b	0	0	0	1	2	0	0	1	1	2	0	0	0	0	0	3	5	6	3	1	7	3	1	0	0	12	0	0	0	1	2	4	1	0	0	3	0	0	0	1	1	0	22	0	0	2	0	6	0	20	0	2	0	46	2	2	0	0
miR-302a*	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-302b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-302b*	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-302c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-302d	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-30a	28	49	51	318	29	3	4	131	22	148	114	380	96	261	13	394	988	1201	1083	261	3019	490	265	40	5	1153	338	99	0	243	1616	165	4	323	11	214	1	30	20	8	232	10	555	55	4	189	24	339	0	1533	2	531	10	356	172	300	0	10
miR-30a*	5	30	22	115	22	5	0	272	26	248	145	323	402	502	27	3268	3199	2327	4992	1752	3724	3451	307	189	15	1503	621	475	0	44	143	70	4	154	16	15	11	16	152	13	98	122	462	647	47	190	18	466	5	2509	133	483	21	2441	98	150	52	0
miR-30b	64	117	102	299	40	12	4	218	79	255	185	117	107	63	15	129	230	183	167	138	420	114	223	97	30	3884	1198	231	38	52	192	87	43	246	4	100	1	107	87	36	112	38	149	282	26	220	35	244	1	156	6	147	1	870	566	957	17	118
miR-30b*	1	2	1	3	2	0	0	10	0	17	5	13	17	5	0	45	32	33	23	41	24	48	13	3	7	36	8	8	0	1	2	2	1	4	1	2	1	1	2	1	5	6	48	6	3	5	1	13	5	18	0	7	1	24	10	5	3	0
miR-30c	55	81	110	313	27	7	2	211	183	144	150	176	122	116	37	82	163	273	143	107	205	79	283	114	10	4484	997	292	18	52	213	136	37	133	10	61	1	153	56	33	154	34	235	276	22	105	27	147	0	277	7	146	3	243	370	824	11	66
miR-30c-1*	1	3	2	8	0	0	0	5	0	5	2	17	35	35	0	33	66	84	58	38	58	30	13	7	6	63	21	0	3	3	18	4	2	7	2	2	8	4	14	0	25	26	132	66	17	23	2	37	43	89	3	41	0	86	24	24	10	1
miR-30c-2*	0	2	1	4	0	0	0	8	2	11	0	10	11	8	0	17	17	48	38	13	32	18	13	5	0	47	18	10	0	1	6	2	0	4	0	0	1	0	4	0	3	7	12	20	1	2	0	5	3	25	2	13	0	33	0	3	1	0
miR-30d	105	172	219	515	58	7	5	276	108	269	319	949	542	4149	63	1140	2369	4424	1544	1150	15298	1450	620	63	38	2423	876	207	7	225	3767	122	177	316	32	1023	7	340	98	30	2469	42	4494	221	52	3368	177	6611	1	4489	10	3392	11	540	1742	3895	17	78
miR-30d*	0	0	0	3	0	0	1	2	0	9	4	4	6	3	0	33	37	30	27	17	22	20	3	0	0	17	6	11	0	0	4	0	1	1	0	3	0	2	5	1	3	4	37	2	0	2	0	8	0	20	0	9	0	17	3	1	1	0
miR-30e	35	50	62	373	25	7	2	117	27	126	119	347	83	295	7	396	1333	1116	857	407	1381	733	236	61	16	1361	363	90	5	105	2038	364	77	388	7	544	5	146	22	10	401	16	3326	60	18	1146	80	1435	1	3748	0	907	4	229	550	1255	11	5
miR-30e*	36	46	79	181	19	14	0	304	69	205	282	409	539	723	56	4303	4767	3550	3859	3540	3650	6082	327	146	19	1910	987	475	0	34	201	185	30	204	76	46	34	134	742	27	392	365	2194	855	451	1227	98	2655	19	3861	95	568	25	822	462	1079	251	0
miR-31	1	2	4	0	1	2	7	36	17	16	0	3	3	35	0	1	18	23	13	11	338	31	137	2	1	766	74	29	4	74	919	215	174	227	1	438	0	293	10	6	519	44	3188	72	17	1035	91	564	0	1174	2	2273	1	1	2810	1930	18	101
miR-31*	0	0	0	0	0	0	0	5	0	2	0	0	0	3	0	0	2	5	5	2	31	6	14	1	0	20	11	5	0	3	43	2	16	3	0	7	1	25	2	2	41	9	434	29	2	166	16	40	0	129	0	75	2	0	47	112	7	1
miR-32	6	3	12	42	12	3	0	68	35	83	17	63	16	23	6	80	173	374	167	79	191	113	77	12	0	226	104	71	2	21	111	30	33	31	1	39	0	38	5	11	82	2	598	32	15	151	15	226	0	610	1	12	4	8	27	112	1	2
miR-32*	0	0	0	7	0	1	0	11	0	13	1	9	3	0	0	23	33	38	26	14	23	39	15	3	0	18	20	15	0	1	8	3	4	3	0	3	0	2	0	1	4	2	56	3	2	6	0	10	0	83	0	1	0	0	2	10	0	0
miR-320a	271	1184	1064	1736	846	74	34	577	136	884	186	832	3500	2284	48	1990	898	1605	4800	3296	3245	3329	351	580	1107	8372	497	522	36	638	5508	168	155	316	49	2992	30	378	199	20	1867	73	8833	242	7	542	148	2736	122	4819	9	8686	163	1308	5876	4781	53	42
miR-323-3p	0	1	0	0	0	0	0	1	0	5	0	2	3	0	0	2	9	7	2	8	3	3	0	0	0	2	0	1	1	1	2	0	0	0	0	0	0	0	1	0	1	0	6	1	0	1	0	1	0	13	0	0	0	1	0	4	0	0
miR-324-3p	3	5	11	20	12	2	1	8	8	8	16	26	37	90	1	38	89	76	114	34	150	31	7	10	9	166	16	3	9	18	60	1	10	4	0	50	0	5	4	2	39	2	154	16	1	14	8	108	0	96	1	158	1	29	79	115	0	12
miR-324-5p	5	24	34	78	38	2	0	15	6	49	72	74	108	36	3	147	124	174	457	75	189	120	22	19	13	531	27	12	8	41	269	23	20	44	2	38	1	13	10	1	87	12	783	20	4	35	13	167	1	550	1	369	8	637	106	355	7	9
miR-326	0	3	4	0	3	0	0	6	2	2	1	8	17	0	0	5	8	35	15	17	0	7	4	1	4	37	8	3	0	0	0	1	0	2	0	0	2	0	7	1	0	1	50	15	1	0	0	0	0	66	1	0	0	1	0	0	0	0
miR-328	6	8	18	6	2	0	1	6	4	4	14	44	62	18	4	33	19	57	59	82	16	73	8	20	20	89	28	8	4	2	3	1	0	0	2	2	0	1	1	2	5	3	29	15	0	0	1	9	0	52	0	3	8	11	6	7	0	0
miR-329	1	1	0	2	2	1	1	2	0	11	0	3	2	5	0	2	22	21	9	9	4	3	2	3	1	13	2	1	3	0	4	0	1	0	0	0	0	0	2	0	13	0	13	2	0	1	0	21	1	21	0	1	0	5	2	6	0	0
miR-330-3p	0	1	2	3	2	0	0	2	0	3	1	3	1	1	0	3	4	3	11	3	3	3	1	2	0	11	1	1	2	1	2	4	2	1	0	6	0	2	2	0	2	0	33	1	0	1	0	11	0	24	0	0	0	8	6	20	0	3
miR-330-5p	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	1	3	4	3	0	0	1	1	1	0	4	0	0	0	0	1	0	0	0	0	1	0	2	0	0	2	0	16	0	0	1	0	4	0	11	0	1	0	0	1	1	0	0
miR-331-3p	0	6	29	38	33	12	0	40	2	15	18	49	53	5	3	52	101	57	135	55	2	65	18	24	1	155	21	15	0	31	2	1	19	6	1	5	0	5	3	6	6	2	164	15	1	0	3	3	0	111	0	12	0	40	1	2	0	0
miR-331-5p	0	1	5	7	1	0	0	3	1	1	4	3	11	4	0	16	15	15	29	11	19	10	2	3	0	21	0	0	0	1	5	0	0	6	0	4	0	2	0	0	1	1	55	2	2	7	0	14	0	40	1	5	0	4	11	10	1	0
miR-335	130	82	217	1954	35	36	3	3874	577	2815	1106	2998	2525	2647	221	6324	6556	2613	10386	14871	12368	29597	882	1557	49	7052	4336	1308	52	85	2239	506	34	959	353	683	49	336	1299	26	886	730	3092	2529	250	893	136	3341	71	2107	120	2015	1075	4299	2009	1296	173	216
miR-335*	1	0	2	10	0	0	0	10	9	15	14	11	9	4	3	41	69	30	31	71	65	62	10	2	0	29	39	7	0	0	38	3	0	10	0	9	0	15	0	1	6	0	127	6	5	16	7	25	0	39	0	5	1	3	25	35	0	0
miR-337-3p	4	4	6	50	7	2	0	47	0	36	83	49	31	16	0	143	707	310	245	184	71	131	13	26	1	97	43	24	0	4	16	0	0	1	3	0	0	3	11	5	56	2	146	24	1	7	2	60	0	245	0	1	2	1	3	11	0	0
miR-337-5p	0	2	1	2	1	0	0	0	0	1	0	2	1	2	1	1	6	3	4	2	2	3	0	3	1	5	0	1	0	4	1	0	1	0	0	0	0	0	0	0	2	0	5	1	0	0	0	4	0	3	0	1	0	3	1	3	0	0
miR-338-3p	16	11	12	23	5	4	1	24	25	7	10	14	9	21	0	12	40	770	69	5	64	30	13	4	0	151	28	3	0	46	30	5	9	41	0	23	0	28	4	2	26	1	220	17	0	16	4	36	0	379	0	16	0	16	39	21	0	10
miR-338-5p	2	0	0	5	0	0	1	2	1	1	0	1	3	6	0	3	12	116	8	2	44	8	1	0	0	20	3	1	0	6	6	0	0	8	0	3	0	3	0	1	4	0	38	2	0	2	1	12	0	70	0	1	0	1	11	8	0	0
miR-339-3p	8	16	16	20	5	1	5	28	3	26	27	48	42	269	1	45	156	107	92	144	649	166	56	17	69	378	49	20	4	15	244	26	12	23	0	50	0	22	4	0	372	2	180	16	3	414	16	866	6	205	1	694	0	56	360	317	3	7
miR-339-5p	5	2	22	11	16	0	3	13	17	8	12	27	17	30	1	17	34	80	53	33	33	30	24	13	24	116	18	6	0	3	29	37	2	22	0	19	1	25	3	1	49	4	195	50	8	40	11	80	0	124	1	49	3	85	55	74	3	0
miR-33a	2	3	5	6	10	12	2	6	0	1	12	7	2	27	0	6	21	10	15	25	22	66	12	7	4	38	3	6	1	101	19	1	12	6	0	42	1	7	3	1	11	4	58	27	4	5	1	15	7	17	1	32	0	41	34	71	5	0
miR-33a*	0	0	1	5	1	1	0	12	1	6	7	7	5	2	0	17	34	33	23	43	13	64	0	8	0	15	3	8	1	1	10	2	2	3	0	0	0	0	3	1	12	0	90	7	5	18	1	22	1	57	0	6	0	6	3	14	2	0
miR-33b	1	1	3	2	17	5	0	1	0	2	1	1	0	11	0	0	7	4	2	8	16	19	1	2	4	29	1	2	0	31	11	1	12	3	0	50	0	9	0	0	12	0	83	19	3	8	1	17	1	13	0	24	0	51	15	86	0	1
miR-33b*	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	3	0	0	0	0	1	0	2	0	0	0	0	0	3	0	0
miR-340	1	7	33	77	11	0	0	32	11	53	29	51	40	16	2	142	253	292	241	80	121	110	32	26	1	314	58	12	0	14	130	68	11	54	10	26	0	7	36	4	51	20	651	37	7	74	8	250	2	775	4	25	6	872	82	111	7	1
miR-340*	0	0	0	11	0	1	0	2	0	2	1	5	2	0	0	5	24	10	12	3	10	8	1	2	0	9	5	0	0	0	15	1	1	2	0	0	0	1	1	1	0	0	18	0	0	2	0	10	0	25	0	1	0	3	3	10	0	4
miR-342-3p	14	25	100	162	23	6	0	29	6	63	34	81	137	110	3	127	127	487	987	142	197	112	53	13	6	591	71	11	1	18	530	136	28	60	5	190	3	40	9	16	179	9	789	82	2	205	6	1243	0	1203	6	242	27	352	203	656	2	8
miR-342-5p	0	0	4	6	4	0	0	0	0	0	2	3	0	0	0	0	3	6	13	1	11	2	0	1	2	68	0	0	0	1	5	5	0	3	1	5	0	0	0	0	4	0	10	1	0	4	0	16	0	36	0	15	0	29	4	12	0	0
miR-345	0	3	4	8	3	0	0	27	1	11	7	7	19	3	0	27	15	17	16	88	51	69	11	43	19	63	3	39	4	16	63	6	7	3	0	56	1	9	2	0	18	1	130	20	5	23	2	29	0	132	0	80	0	54	48	123	1	0
miR-346	0	1	0	0	0	0	0	0	0	0	1	2	2	2	0	1	0	7	8	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	2	0	9	0	0	0	8	0	1	0	0
miR-34a	17	24	30	30	28	9	5	16	0	19	44	32	15	5	1	30	68	190	68	53	99	111	37	8	8	401	35	6	0	85	161	106	60	185	1	67	0	29	3	4	34	24	2242	44	1	50	4	95	1	1405	1	61	2	28	63	140	1	1
miR-34a*	2	1	2	3	0	0	0	1	0	2	1	2	1	0	0	1	5	6	4	12	8	17	1	0	0	10	7	1	1	3	22	4	0	5	0	0	0	3	1	0	6	1	68	2	0	8	0	16	0	57	0	1	1	0	5	12	0	1
miR-34b	0	0	0	0	0	3	0	51	1	0	0	1	0	1	0	0	0	1	0	3	770	1	135	0	1	233	176	202	0	0	7	1	0	0	0	0	0	0	0	0	2	0	6	0	0	1	0	7	0	8	0	4	0	0	0	6	0	0
miR-34b*	0	0	0	0	0	23	3	14	0	0	1	0	0	0	0	0	0	1	0	0	334	2	31	0	2	375	47	49	0	3	4	1	0	1	0	11	0	0	0	0	0	0	5	1	0	1	2	1	0	26	0	8	0	2	1	10	0	0
miR-34c-3p	0	0	0	0	1	2	0	28	0	1	1	0	0	0	0	1	1	1	2	0	552	1	48	0	4	276	101	47	0	0	9	1	0	0	0	4	0	2	0	0	0	0	9	0	0	2	1	1	0	14	0	12	0	0	8	1	0	0
miR-34c-5p	0	0	1	0	3	11	1	15	0	1	0	0	0	1	0	0	0	0	0	0	769	2	46	0	1	526	87	74	0	0	16	1	0	2	0	8	0	1	0	0	0	0	12	0	0	2	2	1	1	27	0	16	0	4	1	4	0	0
miR-361-3p	1	11	20	10	14	3	0	8	0	11	10	28	13	179	0	18	36	42	68	46	1550	50	34	6	14	149	28	8	0	28	386	7	22	8	0	241	0	27	1	0	204	1	100	9	0	367	22	1663	0	87	0	506	1	16	261	562	0	7
miR-361-5p	17	37	94	160	26	2	0	121	4	193	61	154	290	105	8	755	603	521	735	578	953	877	148	52	9	1104	188	87	0	30	484	50	19	123	2	35	1	17	22	8	120	36	1464	132	10	129	9	561	3	1788	4	139	2	512	267	485	4	0
miR-362-3p	3	1	5	29	1	2	1	6	1	27	11	24	2	13	0	40	76	52	129	51	48	52	11	16	0	58	12	5	0	7	39	4	4	10	0	5	0	1	2	0	16	0	111	7	1	34	2	59	0	103	0	17	0	88	10	29	0	0
miR-362-5p	2	3	6	15	11	0	0	7	0	10	15	21	4	6	0	26	20	22	110	32	18	55	4	9	10	61	11	6	0	2	44	5	5	17	0	15	0	3	1	0	8	2	95	5	1	8	0	27	0	73	0	64	0	73	5	25	0	0
miR-363	0	13	1	1	1	0	0	3	29	17	1	8	9	20	4	4	34	55	30	10	15	17	23	2	1	52	16	6	0	2	31	7	0	14	0	1	0	1	2	2	36	0	91	28	3	29	3	107	0	25	0	71	0	4	17	54	0	0
miR-363*	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
miR-365	17	34	113	208	41	1	0	734	61	458	117	432	4284	308	63	6157	1312	1195	1170	5881	659	4933	65	383	21	856	138	547	0	41	442	37	49	217	11	31	5	88	99	25	120	192	2504	518	88	158	32	377	1	1390	18	26	1	195	338	935	30	6
miR-367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-369-3p	1	6	9	42	24	3	0	94	5	127	36	33	54	33	8	323	1150	509	307	280	56	131	17	47	3	117	39	17	10	12	32	3	1	1	1	1	0	9	26	11	76	4	155	9	3	43	1	81	0	193	0	21	6	1	12	55	2	1
miR-369-5p	0	0	2	1	1	1	0	3	0	3	3	4	3	1	0	5	19	8	7	10	3	3	0	1	0	5	0	0	0	1	3	0	0	0	0	0	0	1	0	0	14	0	5	1	1	0	0	8	0	13	0	0	0	0	2	4	0	0
miR-370	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	3	1	0	0	1	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
miR-371-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
miR-371-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-373	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0
miR-373*	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
miR-374a	14	5	61	439	32	8	0	248	88	230	236	692	192	460	9	779	3254	2395	1270	625	1122	796	268	119	2	1233	545	103	2	49	589	86	33	119	5	79	1	90	30	24	587	23	1532	63	12	690	39	1270	0	1944	8	36	2	19	105	726	0	58
miR-374a*	0	0	5	22	2	0	0	24	5	21	12	18	19	19	4	137	169	116	88	107	35	153	6	17	1	39	28	33	0	1	9	4	2	3	0	0	0	6	5	1	27	1	38	2	3	16	4	37	0	71	0	4	1	0	2	22	0	1
